country,CoL_idx,Rent_idx,CoL_plus_Rent_idx,Groceries_idx,RestaurantPrice_idx,LocalPurchasingPower_idx
Us Virgin Islands,98.4,46.4,75.4,106.3,90.5,72.3
Switzerland,98.4,45.2,74.8,103.1,98.4,159.7
Iceland,83.4,43.7,65.9,90.3,94.7,123.5
Bahamas,81.4,46.9,66.1,79.1,94.5,58.4
Singapore,79.1,67.0,73.7,70.8,53.5,93.8
Hong Kong (China),73.6,55.7,65.7,75.9,49.7,101.0
Barbados,70.0,20.1,47.9,78.1,70.3,45.9
Norway,69.0,24.8,49.4,71.9,74.6,119.5
Papua New Guinea,67.4,36.6,53.7,51.9,37.9,14.0
Denmark,66.9,25.7,48.6,61.0,80.8,133.6
Guernsey,66.1,45.7,57.1,70.5,65.9,136.6
Israel,65.2,27.1,48.3,61.2,74.5,110.0
United States,64.9,40.9,54.3,71.7,69.3,146.2
Luxembourg,64.8,42.2,54.8,65.3,72.8,177.1
Australia,60.9,29.8,47.1,67.9,59.2,135.4
Austria,60.7,22.0,43.6,62.2,59.7,107.1
Netherlands,60.5,32.1,47.9,56.8,67.7,129.9
Ireland,59.8,39.0,50.6,56.9,65.8,108.9
United Kingdom,59.2,30.0,46.3,54.8,65.3,119.9
Puerto Rico,58.7,19.9,41.5,63.1,53.4,111.0
Finland,58.7,19.1,41.1,59.4,64.7,124.5
Canada,58.7,30.3,46.1,65.3,59.9,109.1
Germany,58.4,22.4,42.4,56.7,57.5,127.1
France,58.0,19.4,41.0,63.6,56.1,110.0
Macao (China),56.8,29.4,44.6,68.2,40.4,103.8
South Korea,56.5,15.1,38.2,74.5,32.8,105.0
Belgium,56.5,19.3,40.1,54.6,67.1,116.1
New Zealand,55.3,23.4,41.2,62.2,53.8,130.5
Sweden,54.2,19.1,38.7,55.5,56.0,130.3
United Arab Emirates,54.1,39.7,47.8,42.4,59.9,128.3
Italy,51.0,17.7,36.3,53.5,53.0,85.1
Jamaica,50.3,17.7,35.9,59.6,42.8,36.4
Costa Rica,50.1,18.5,36.1,56.2,47.8,50.9
Cyprus,49.5,24.0,38.2,47.0,52.7,80.4
Estonia,49.4,14.1,33.8,45.1,54.0,84.2
Trinidad And Tobago,48.9,13.7,33.3,54.1,45.2,46.1
