country,region,entry,early,mid,senior
Albania,Southern Europe,"$12,780","$14,484","$17,040","$19,596"
Austria,Western Europe,"$52,713","$59,741","$70,284","$80,827"
Belarus,Eastern Europe,"$10,341","$11,720","$13,788","$15,856"
Belgium,Western Europe,"$61,227","$69,391","$81,636","$93,881"
Bosnia and Herzegovina,Southern Europe,"$14,508","$16,442","$19,344","$22,246"
Bulgaria,Eastern Europe,"$20,430","$23,154","$27,240","$31,326"
Croatia,Southern Europe,"$28,044","$31,783","$37,392","$43,001"
Cyprus,Southern Europe,"$36,288","$41,126","$48,384","$55,642"
Denmark,Northern Europe,"$75,546","$85,619","$100,728","$115,837"
Estonia,Northern Europe,"$32,418","$36,740","$43,224","$49,708"
Finland,Northern Europe,"$57,483","$65,147","$76,644","$88,141"
France,Western Europe,"$51,714","$58,609","$68,952","$79,295"
Germany,Western Europe,"$63,144","$71,563","$84,192","$96,821"
Greece,Southern Europe,"$20,772","$23,542","$27,696","$31,850"
Hungary,Eastern Europe,"$20,790","$23,562","$27,720","$31,878"
Iceland,Northern Europe,"$121,572","$137,782","$162,096","$186,410"
Ireland,Northern Europe,"$64,539","$73,144","$86,052","$98,960"
Italy,Southern Europe,"$35,703","$40,463","$47,604","$54,745"
Latvia,Northern Europe,"$24,327","$27,571","$32,436","$37,301"
Lithuania,Northern Europe,"$27,891","$31,610","$37,188","$42,766"
Luxembourg,Western Europe,"$117,036","$132,641","$156,048","$179,455"
Malta,Southern Europe,"$23,922","$27,112","$31,896","$36,680"
Moldova,Eastern Europe,"$11,853","$13,433","$15,804","$18,175"
Netherlands,Western Europe,"$71,946","$81,539","$95,928","$110,317"
Norway,Northern Europe,"$67,725","$76,755","$90,300","$103,845"
Poland,Eastern Europe,"$30,978","$35,108","$41,304","$47,500"
Portugal,Southern Europe,"$22,878","$25,928","$30,504","$35,080"
Romania,Eastern Europe,"$18,720","$21,216","$24,960","$28,704"
Russia,Eastern Europe,"$11,205","$12,699","$14,940","$17,181"
Serbia,Southern Europe,"$15,759","$17,860","$21,012","$24,164"
Slovakia,Eastern Europe,"$25,164","$28,519","$33,552","$38,585"
Slovenia,Southern Europe,"$33,246","$37,679","$44,328","$50,977"
Spain,Southern Europe,"$38,322","$43,432","$51,096","$58,760"
Sweden,Northern Europe,"$59,193","$67,085","$78,924","$90,763"
Switzerland,Western Europe,"$142,740","$161,772","$190,320","$218,868"
Turkiye,Eastern Europe,"$14,130","$16,014","$18,840","$21,666"
Ukraine,Eastern Europe,"$7,857","$8,905","$10,476","$12,047"
United Kingdom,Northern Europe,"$63,504","$71,971","$84,672","$97,373"
