country,alpha2,alpha3,region,entry,early,mid,senior,gross_salary,net_salary,gni,hdi_tier,hdi,QoL_idx,CoL_idx
Albania,AL,ALB,Southern Europe,12780.0,14484.0,17040.0,19596.0,9909.02,8025.62,21650.0,High,0.789,104.3,39.9
Austria,AT,AUT,Western Europe,52713.0,59741.0,70284.0,80827.0,60027.69,40441.54,72910.0,Very High,0.926,192.9,60.7
Belarus,BY,BLR,Eastern Europe,10341.0,11720.0,13788.0,15856.0,8833.44,7609.38,29690.0,Very High,0.801,127.5,25.0
Belgium,BE,BEL,Western Europe,61227.0,69391.0,81636.0,93881.0,62344.41,37441.56,72470.0,Very High,0.942,169.3,56.5
Bosnia and Herzegovina,BA,BIH,Southern Europe,14508.0,16442.0,19344.0,22246.0,13704.45,8871.3,23290.0,High,0.779,134.8,31.6
Bulgaria,BG,BGR,Eastern Europe,20430.0,23154.0,27240.0,31326.0,12678.11,9837.96,37000.0,High,0.799,143.8,35.4
Croatia,HR,HRV,Southern Europe,28044.0,31783.0,37392.0,43001.0,18627.73,12966.35,46610.0,Very High,0.878,174.6,43.2
Cyprus,CY,CYP,Southern Europe,36288.0,41126.0,48384.0,55642.0,28066.47,24095.79,54390.0,Very High,0.907,158.5,49.5
Denmark,DK,DNK,Northern Europe,75546.0,85619.0,100728.0,115837.0,68886.08,44094.28,79430.0,Very High,0.952,209.9,66.9
Estonia,EE,EST,Northern Europe,32418.0,36740.0,43224.0,49708.0,22709.46,18427.83,48010.0,Very High,0.899,185.7,49.4
Finland,FI,FIN,Northern Europe,57483.0,65147.0,76644.0,88141.0,56060.75,38357.12,64400.0,Very High,0.942,203.8,58.7
France,FR,FRA,Western Europe,51714.0,58609.0,68952.0,79295.0,45679.23,33105.43,62260.0,Very High,0.91,166.3,58.0
Germany,DE,DEU,Western Europe,63144.0,71563.0,84192.0,96821.0,64007.82,40051.61,73180.0,Very High,0.95,190.2,58.4
Greece,GR,GRC,Southern Europe,20772.0,23542.0,27696.0,31850.0,24750.28,18620.66,41090.0,Very High,0.893,138.1,46.5
Hungary,HU,HUN,Eastern Europe,20790.0,23562.0,27720.0,31878.0,19696.79,13098.37,44300.0,Very High,0.851,144.6,36.6
Iceland,IS,ISL,Northern Europe,121572.0,137782.0,162096.0,186410.0,78036.17,56665.51,79750.0,Very High,0.959,202.0,83.4
Ireland,IE,IRL,Northern Europe,64539.0,73144.0,86052.0,98960.0,62990.06,45377.91,97370.0,Very High,0.95,166.5,59.8
Italy,IT,ITA,Southern Europe,35703.0,40463.0,47604.0,54745.0,35220.49,25455.91,58420.0,Very High,0.906,151.0,51.0
Latvia,LV,LVA,Northern Europe,24327.0,27571.0,32436.0,37301.0,19516.2,14219.63,42690.0,Very High,0.879,164.7,43.4
Lithuania,LT,LTU,Northern Europe,27891.0,31610.0,37188.0,42766.0,24617.19,15308.37,51160.0,Very High,0.879,173.0,44.0
Luxembourg,LU,LUX,Western Europe,117036.0,132641.0,156048.0,179455.0,77206.15,51564.8,93600.0,Very High,0.927,220.1,64.8
Malta,MT,MLT,Southern Europe,23922.0,27112.0,31896.0,36680.0,28636.87,21521.6,57710.0,Very High,0.915,132.7,48.0
Netherlands,NL,NLD,Western Europe,71946.0,81539.0,95928.0,110317.0,65494.35,47584.22,80080.0,Very High,0.946,211.3,60.5
Norway,NO,NOR,Northern Europe,67725.0,76755.0,90300.0,103845.0,66979.7,48161.02,109260.0,Very High,0.966,195.0,69.0
Poland,PL,POL,Eastern Europe,30978.0,35108.0,41304.0,47500.0,19845.34,15169.65,47450.0,Very High,0.881,153.9,38.9
Portugal,PT,PRT,Southern Europe,22878.0,25928.0,30504.0,35080.0,24938.15,17817.77,47620.0,Very High,0.874,167.8,41.2
Romania,RO,ROU,Eastern Europe,18720.0,21216.0,24960.0,28704.0,18510.31,11678.14,46590.0,Very High,0.827,142.2,34.0
Russia,RU,RUS,Eastern Europe,11205.0,12699.0,14940.0,17181.0,10385.6,9035.35,43530.0,Very High,0.821,116.6,22.3
Serbia,RS,SRB,Southern Europe,15759.0,17860.0,21012.0,24164.0,15180.9,10814.65,28090.0,Very High,0.805,124.8,35.9
Slovenia,SI,SVN,Southern Europe,33246.0,37679.0,44328.0,50977.0,28042.51,18453.14,54950.0,Very High,0.926,179.3,46.2
Spain,ES,ESP,Southern Europe,38322.0,43432.0,51096.0,58760.0,31797.63,24783.84,53680.0,Very High,0.911,184.4,43.5
Sweden,SE,SWE,Northern Europe,59193.0,67085.0,78924.0,90763.0,46881.54,35676.61,71780.0,Very High,0.952,193.2,54.2
Switzerland,CH,CHE,Western Europe,142740.0,161772.0,190320.0,218868.0,110528.42,89998.1,90000.0,Very High,0.967,205.0,98.4
Turkiye,TR,TUR,Eastern Europe,14130.0,16014.0,18840.0,21666.0,13025.45,9430.94,44160.0,Very High,0.855,131.1,34.7
Ukraine,UA,UKR,Eastern Europe,7857.0,8905.0,10476.0,12047.0,6095.07,4908.87,18120.0,High,0.734,115.0,24.6
United Kingdom,GB,GBR,Northern Europe,63504.0,71971.0,84672.0,97373.0,43446.85,35627.16,58140.0,Very High,0.94,174.5,59.2
