country,alpha3,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,37310,33150,31800,32030,32580,33740,34340,34460,34480,35450,36710,37340,28180,34420,40060,41080
Africa Eastern and Southern,AFE,2932.84087,2916.432013,2998.732723,3106.945336,3054.559569,3160.240324,3306.155326,3344.151898,3459.06442,3595.335596,3537.895539,3631.976504,3543.21402,3806.831641,4118.377613,4269.744573
Afghanistan,AFG,1330,1570,1770,1740,1990,2140,2230,2300,2240,2360,2460,2620,2580,2160,2130,2220
Africa Western and Central,AFW,2979.814096,3088.884845,3241.499105,3373.352803,3504.529688,3657.332387,3951.019391,3939.378474,3906.222521,3942.493513,4071.285624,4333.491697,4370.342019,4566.105915,4939.200037,5167.979184
Angola,AGO,5620,5870,5970,6130,6760,7010,7500,6760,6490,6560,6780,6850,5870,6800,7310,7280
Albania,ALB,8270,8670,9530,10210,10450,10750,11360,11800,12270,12800,13680,14600,14270,16130,19260,21650
Andorra,AND,,,,,,,,,,,,63070,58900,63830,75250,
Arab World,ARB,14346.85075,14116.91092,14605.17091,15085.76499,15964.03016,15869.31986,15659.98249,14191.30928,13729.89276,14309.11526,15242.67173,15342.10401,14012.69852,15429.79393,17041.23549,17487.52225
United Arab Emirates,ARE,94140,84200,83650,87740,87410,85610,85380,72060,68090,68530,75320,77260,65000,67280,73790,76680
Argentina,ARG,16850,15680,17240,18560,18970,19500,19090,19530,19660,22790,23540,22590,21790,25770,29050,29460
Armenia,ARM,8290,7090,7450,7890,9300,10040,10170,10150,10820,12490,13080,15180,14470,15460,18650,20770
American Samoa,ASM,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,28450,24760,22710,22390,20910,20610,20720,19760,19930,20310,23390,25430,22260,24850,28580,30680
Australia,AUS,36000,38900,37840,40330,41560,44790,45680,45330,46140,47040,48600,50900,52760,56680,62800,66250
Austria,AUT,41660,40900,42350,44600,46500,48050,48860,49370,52680,53670,56380,60400,59220,64410,70930,72910
Azerbaijan,AZE,11640,12940,13800,13790,15090,16410,17060,14590,13660,13770,14550,16030,15070,19690,21040,22590
Burundi,BDI,610,600,610,620,640,690,720,800,770,760,760,780,790,840,890,920
Belgium,BEL,38800,38450,40440,41010,43270,44750,45870,46850,49060,50900,53000,57170,56330,62770,69340,72470
Benin,BEN,2210,2210,2210,2260,2330,2500,2660,2710,2830,2880,2950,3130,3220,3430,3800,4090
Burkina Faso,BFA,1350,1340,1410,1470,1530,1600,1590,1610,1800,1970,2010,2130,2300,2370,2530,2640
Bangladesh,BGD,2720,2850,3030,3250,3680,3940,4190,4440,4790,5050,5710,6290,6920,7830,8790,9510
Bulgaria,BGR,13650,13730,14640,15250,16110,16280,17420,17790,19400,20930,22140,24640,24930,28360,32750,37000
Bahrain,BHR,48520,43540,44890,46050,54930,54320,51750,45470,44920,47500,49270,53440,49770,51550,58970,59900
"Bahamas, The",BHS,30970,29240,29430,29880,30290,29270,30080,30340,30410,32200,32370,33710,24740,27500,32730,35210
Bosnia and Herzegovina,BIH,8900,9030,9230,9840,10200,10950,11260,11920,12920,13510,14770,16400,16280,18310,20910,23290
Belarus,BLR,13710,13730,15030,16380,17710,18350,18470,17360,16990,17720,19300,21640,23860,26600,27240,29690
Belize,BLZ,9040,9220,8960,9180,8680,8960,8880,9120,8940,8620,8880,9810,9340,11300,12830,13320
Bermuda,BMU,,,73780,72730,72220,74820,74730,78670,82690,89200,88770,92220,87650,96220,110730,113390
Bolivia,BOL,4660,4730,4870,5170,5510,6180,6680,6910,7410,8260,8740,8990,8200,9210,10070,10620
Brazil,BRA,13120,13090,14010,14820,14820,15500,15530,14540,14010,14290,15030,15640,15770,17510,19330,20470
Barbados,BRB,19210,18430,18570,18090,17350,17350,17100,17090,17270,17170,17760,17890,15620,15400,19260,20490
Brunei Darussalam,BRN,80750,78300,78960,80510,85160,82320,81150,65860,60830,65320,65550,71210,71890,78750,79990,86360
Bhutan,BTN,5880,6220,6870,7480,7960,8120,8720,9550,10390,10720,10950,11830,11750,12700,14280,
Botswana,BWA,12840,11340,12000,13270,12710,12720,14550,13670,14840,14370,14320,16010,15310,18000,20010,20960
Central African Republic,CAF,790,870,940,980,1070,720,710,780,840,930,970,1060,1130,1210,1280,1330
Canada,CAN,39780,38190,39310,40880,41540,43630,45020,43980,45900,47700,49130,49900,48240,55300,61230,60800
Central Europe and the Baltics,CEB,19035.92232,19138.43389,20163.38755,21532.22292,22369.52658,23176.85978,24210.79069,25294.86285,26891.30066,28919.34819,31045.60551,34485.81138,35047.38546,39022.25246,43593.61482,46715.28131
Switzerland,CHE,50260,53740,57260,57830,60440,62660,63350,65920,66960,67250,68130,71170,70510,80310,88900,90000
Channel Islands,CHI,,,,,,,,,,,,,,,,
Chile,CHL,15090,14860,16760,18370,20200,21210,21550,21920,22610,23350,24270,24650,23770,27460,30160,31540
China,CHN,7630,8290,9220,10200,11210,11910,12720,13140,13810,14730,15940,17210,17750,20260,22320,24360
Cote d'Ivoire,CIV,2140,2200,2310,2110,2350,2530,4000,4310,4430,4550,4810,5360,5380,5860,6490,6910
Cameroon,CMR,2830,2870,2890,2960,3010,3180,3360,3450,3570,3700,3940,4150,4280,4720,5060,5300
"Congo, Dem. Rep.",COD,530,540,570,600,600,650,740,800,890,970,1030,1100,1110,1270,1400,1560
"Congo, Rep.",COG,3900,4420,4760,4660,5730,5700,5820,4690,3870,3860,5280,5140,4740,5570,5930,6500
Colombia,COL,9950,10060,10460,11210,11630,12340,12980,13160,13870,14150,14860,15830,15370,17420,20660,21230
Comoros,COM,2260,2300,2370,2470,2670,2830,2950,2960,3160,3360,3320,3330,3270,3460,3730,3890
Cabo Verde,CPV,5870,5760,5800,6160,6070,6160,6130,6540,7110,7690,7750,8480,6700,7580,9360,10190
Costa Rica,CRI,12230,11870,12510,13160,14010,14680,15720,16780,18390,19430,20330,21950,20820,22590,24780,26550
Caribbean small states,CSS,14370.386,14102.43866,14313.12826,14693.98591,15019.8928,15390.27799,15601.0782,15736.73771,15379.99644,16203.95601,16713.84181,17756.26816,16116.04444,17891.28317,21705.28749,25028.26543
Cuba,CUB,,,,,,,,,,,,,,,,
Curacao,CUW,26030,25510,25860,25940,24600,24150,23820,23690,23200,24040,24480,25500,21950,25460,29210,
Cayman Islands,CYM,,,62770,64370,43820,38230,36670,37970,41510,45560,50130,53880,45150,57130,54040,
Cyprus,CYP,34260,33790,33030,34280,31700,30050,29350,31700,34450,37240,39440,42700,40440,45510,52440,54390
Czechia,CZE,26270,25840,25790,26660,27370,28860,30270,31570,33660,36630,38890,42150,41730,46440,49350,51750
Germany,DEU,38160,37640,39730,43630,44400,46040,47950,48690,51830,54340,57060,60430,59560,64330,69210,73180
Djibouti,DJI,,,,,,3780,4050,4400,4490,4660,5050,5230,5430,5840,6640,6940
Dominica,DMA,9770,9840,10120,10250,10000,9910,10650,10750,11740,11830,13340,14970,13810,15610,17800,19390
Denmark,DNK,41930,40910,43750,45380,45770,48350,49620,50410,53120,56490,58840,62360,64710,73120,80790,79430
Dominican Republic,DOM,10000,10040,10860,11260,11330,11850,12850,14230,15610,16240,17330,18820,18150,20820,23450,24480
Algeria,DZA,13570,13550,14190,14520,14300,14140,14420,13520,13350,13340,13430,13610,12470,14210,15470,16580
East Asia & Pacific (excluding high income),EAP,7383.199131,7881.858613,8661.696548,9469.216999,10329.12537,10905.73716,11540.07169,11863.28161,12446.28703,13221.57983,14272.97144,15351.05916,15605.08089,17477.68302,19346.14394,21051.7323
Early-demographic dividend,EAR,6395.527389,6480.704959,6880.587932,7281.056647,7641.746756,7860.752528,8089.109003,8199.076772,8505.25656,8954.536986,9437.878007,9751.126253,9501.279334,10574.02955,11939.89404,12916.99756
East Asia & Pacific,EAS,10496.36349,10831.78922,11752.27883,12610.55472,13501.74455,14198.80162,14835.17446,15257.41713,15805.64394,16622.02558,17681.23223,18758.53741,19024.53232,21097.3311,23174.96753,25042.90274
Europe & Central Asia (excluding high income),ECA,11036.35516,10706.98119,11697.87141,12831.62879,13659.88071,14902.09872,15442.65786,15879.60806,16325.55796,17238.03613,17777.62416,18793.31557,19276.86369,21331.38414,24230.92512,27574.49184
Europe & Central Asia,ECS,25385.02902,24793.71495,25925.85967,27465.43447,28229.02812,29480.2206,30203.03606,30611.92651,32003.68216,33754.20057,35474.08025,38048.22508,37443.43417,42283.36358,46466.98007,49621.68004
Ecuador,ECU,8460,8480,8830,9610,10100,11140,11660,10690,10670,11530,11860,12190,11130,13320,15030,15700
"Egypt, Arab Rep.",EGY,8260,8470,8660,8760,10100,10240,10010,10710,10520,10920,12030,12900,14780,15120,16950,17710
Euro area,EMU,35307.68753,34625.2322,35648.25483,37347.99525,37766.67987,39000.34904,39940.31537,40863.10299,43463.51578,45577.61779,47667.85444,51185.64745,49373.36314,54681.77167,59698.50032,63252.46651
Eritrea,ERI,1530,1560,1580,1720,,,,,,,,,,,,
Spain,ESP,32340,31480,31220,31310,31470,32230,33420,34910,37400,39570,40780,43820,39070,43960,48940,53680
Estonia,EST,21610,19850,20450,23300,24920,26800,28120,28530,30620,32990,35640,39070,39490,43940,46760,48010
