country,avg_gross_salary,avg_net_salary
Albania,9422.8,7631.82
Austria,57082.25,38457.15
Belarus,8400,7236
Belgium,59285.29,35604.37
Bosnia and Herzegovina,13032,8436
Bulgaria,12056.02,9355.23
Croatia,17713.70,12330.12
Cyprus,26689.30,22913.46
Czechia,21463.88,17168.06
Denmark,65505.97,41930.66
Estonia,21595.15,17523.61
Finland,53309.96,36475.01
France,43437.84,31481.01
Germany,60867.08,38086.35
Greece,23535.83,17706.98
Hungary,18730.31,12455.66
Iceland,74207.08,53885.04
Ireland,59899.26,43151.30
Italy,33492.29,24206.84
Latvia,18558.58,13521.90
Lithuania,23409.27,14557.22
Luxembourg,73417.79,49034.61
Malta,27231.71,20465.58
Moldova,8748,7008
Netherlands,62280.67,45249.35
Norway,63693.13,45797.85
Poland,18871.57,14425.30
Portugal,23714.48,16943.49
Romania,17602.04,11105.12
Russia,9876,8592
Serbia,14436,10284
Slovakia,16834.57,12744.11
Slovenia,26666.52,17547.68
Spain,30237.38,23567.74
Sweden,44581.15,33926.03
Switzerland,105105.00,85582.07
Turkiye,12386.32,8968.18
Ukraine,5796,4668
United Kingdom,41315,33879
